gene	normal_1	normal_2	normal_3	normal_4	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8	tumor_9	tumor_10	tumor_11	tumor_12
gene6204	11	2	25	2	1	13	24	11	20	18	17	35	5	3	4	9
gene6205	10	12	25	15	10	46	41	91	28	41	44	70	58	19	32	30
gene6206	99	83	231	129	57	112	242	347	113	258	131	155	264	33	129	94
gene6207	4	7	8	4	5	5	7	13	3	6	7	13	17	5	18	10
gene6208	798	222	1288	521	456	958	1209	1034	811	994	873	2083	1451	375	876	670
gene6209	0	1	26	12	5	4	20	0	4	0	2	5	4	3	1	9
gene6210	185	60	143	141	99	123	197	264	180	209	148	391	185	39	145	145
gene6211	362	199	578	388	401	350	502	857	318	622	524	1021	806	150	444	307
gene6212	303	139	336	279	217	380	352	544	214	364	169	774	639	159	252	250
gene6213	40	14	100	28	57	59	77	166	49	64	63	170	74	19	53	40
gene6214	33	24	97	45	14	58	31	67	69	32	47	72	37	5	30	19
gene6215	815	299	1179	615	75	147	207	231	162	173	143	248	238	52	121	88
gene6216	119	58	192	111	68	127	138	192	175	184	181	311	206	50	91	72
gene6217	60	21	134	43	57	44	62	195	74	66	60	228	143	19	67	118
gene6218	106	39	155	85	78	113	129	351	132	122	97	154	216	46	38	82
gene6219	311	110	488	186	258	317	365	688	272	456	381	618	793	120	193	266
gene6220	8	5	17	20	17	12	16	45	21	7	14	14	27	2	7	11
gene6221	14	4	23	6	15	1	19	16	3	15	30	50	13	6	1	15
gene6222	31	25	114	28	109	147	125	236	84	176	157	407	371	121	100	159
gene6223	130	38	162	84	96	139	188	251	164	222	132	272	240	54	113	149
gene6224	7	3	23	5	2	3	7	19	12	26	9	6	13	3	1	10
gene6225	8	5	5	5	0	3	31	1	5	13	5	15	5	4	3	6
gene6226	80	56	136	66	44	67	90	164	55	228	84	208	171	44	134	80
gene6227	123	43	271	109	17	16	21	57	32	23	32	34	39	12	17	7
gene6228	35	5	80	38	21	44	33	59	55	54	22	32	19	18	8	16
gene6229	171	60	135	84	490	786	957	1610	988	955	685	1333	1164	331	497	522
gene6230	19	17	89	17	25	32	64	72	27	44	44	71	53	11	29	31
gene6231	619	332	1083	627	397	817	1020	1561	796	1068	808	1824	1432	225	813	585
gene6232	49	26	143	24	37	66	65	144	50	80	45	93	71	38	63	68
gene6233	7	5	5	6	1	2	6	22	11	3	13	0	2	2	2	13
gene6234	19	7	55	24	15	7	57	27	36	25	30	6	27	8	7	19
gene6235	236	138	428	212	199	375	322	662	304	460	314	714	445	89	289	261
gene6236	1738	848	3750	1503	1091	2073	2108	4401	2392	2751	2140	4887	4798	757	1530	1639
gene6237	51	15	43	34	14	23	11	21	10	23	17	42	24	4	9	13
gene6238	4	1	6	1	7	0	7	6	1	6	14	14	40	4	3	2
gene6239	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
gene6240	229	76	356	177	314	548	430	992	518	684	606	633	756	170	341	459
gene6241	428	146	887	278	294	493	634	1050	487	741	480	1208	866	274	401	354
gene6242	2386	1081	5379	2738	392	646	738	1062	682	780	618	1120	1259	202	536	394
gene6243	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene6244	4	4	2	0	0	15	4	17	1	4	2	14	6	3	3	6
gene6245	423	228	705	425	90	100	160	192	117	198	73	329	195	32	106	121
gene6246	566	344	1163	468	448	575	731	1695	911	798	709	1200	1294	259	535	689
gene6247	34	17	59	28	9	29	31	100	48	57	12	25	90	23	45	16
gene6248	100	33	194	66	62	121	91	213	69	89	55	105	231	36	59	84
gene6249	42	21	107	66	22	46	78	60	64	55	32	89	76	18	89	28
gene6250	174	56	341	117	82	115	223	315	197	126	162	305	260	59	140	161
gene6251	8	3	9	4	10	8	2	23	15	0	9	8	8	4	6	4
gene6252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene6253	0	1	14	0	0	21	15	7	2	17	2	5	29	1	5	15
gene6254	12	1	12	5	48	34	136	25	58	84	103	192	153	49	60	3
gene6255	839	544	1954	792	759	1215	1364	2103	1258	1867	1228	1807	2183	357	776	877
gene6256	1404	512	2115	1462	1042	1543	1849	3026	1815	1904	1335	4000	3089	615	971	855
gene6257	26	23	38	36	36	34	158	84	44	76	84	159	240	40	23	45
gene6258	62020	34912	134644	52109	44815	71039	108146	127760	87264	85507	62266	154829	116117	31626	67836	69343
gene6259	166	66	190	148	63	164	253	268	141	245	142	293	248	57	122	117
gene6260	134	48	209	134	71	175	191	184	125	190	135	207	200	38	96	91
gene6261	18	16	52	27	24	30	51	77	19	31	18	97	44	13	34	16
gene6262	122	50	193	89	132	75	163	207	121	152	124	177	222	41	39	98
gene6263	0	2	4	1	0	1	4	28	0	1	0	23	1	4	3	5
gene6264	465	156	715	223	202	408	346	752	649	720	443	535	507	181	200	294
gene6265	0	0	1	9	0	2	3	11	1	28	5	6	1	7	6	0
gene6266	25	1	22	5	22	16	12	34	19	10	5	56	5	0	22	2
gene6267	5	0	0	5	41	0	48	36	21	4	34	186	8	2	3	3
gene6268	5	8	33	27	22	24	31	13	28	49	14	52	21	15	24	24
gene6269	23	2	31	12	7	3	22	37	21	22	23	26	26	7	26	28
gene6270	3763	2212	7473	4058	3885	4227	5325	9080	5923	7079	5709	9134	10579	2119	4205	3556
gene6271	6	0	15	3	10	2	18	8	1	5	4	26	14	3	4	1
gene6272	9	6	11	9	3	6	26	16	21	29	17	24	51	4	3	16
gene6273	144	48	239	77	93	149	168	247	121	140	125	235	164	60	160	99
gene6274	344	150	545	363	240	416	616	660	449	595	307	931	602	162	273	333
gene6275	7	0	52	11	14	11	7	22	1	7	5	38	3	7	4	9
gene6276	97	43	85	104	96	89	112	255	93	126	112	282	172	39	118	117
gene6277	372	194	426	194	696	880	1122	1791	962	1007	1083	1188	1267	337	662	592
gene6278	0	0	2	0	2	1	0	10	2	0	1	0	3	0	0	0
gene6279	5	0	25	10	0	11	1	16	2	2	11	18	15	5	8	7
gene6280	72	14	76	61	33	37	69	121	44	43	77	99	77	10	45	50
gene6281	812	401	1625	1021	694	849	1402	2210	1005	1540	1138	2079	2063	485	957	750
gene6282	73	17	13	31	27	13	78	53	35	48	22	73	90	18	28	38
gene6283	21	3	36	24	57	56	32	29	26	52	37	75	40	4	26	7
gene6284	6140	2839	12855	6697	6329	7993	10329	19267	10100	14234	9337	16462	19759	2589	6492	5839
gene6285	2	1	22	6	3	9	30	20	7	11	13	18	9	7	2	5
gene6286	1067	674	2480	1243	1162	1595	1274	1945	1444	1976	1604	2998	2280	622	1154	989
gene6287	589	280	902	582	371	537	1111	1282	817	1197	500	1131	1227	341	553	606
gene6288	45	21	58	39	31	67	85	95	65	68	77	75	73	25	42	36
gene6289	0	0	15	8	0	3	3	6	0	5	15	5	13	1	5	11
gene6290	0	2	11	0	2	6	0	2	2	2	0	1	2	3	4	1
gene6291	79	38	130	121	85	112	121	196	77	104	113	199	206	34	132	72
gene6292	3	4	10	13	18	64	52	34	78	41	18	61	56	11	70	40
gene6293	137	109	363	92	109	141	189	362	163	314	204	447	229	44	146	139
gene6294	180	34	205	99	92	172	181	275	157	258	134	310	277	46	96	134
gene6295	187	77	502	106	133	130	292	693	218	258	205	478	343	130	208	147
gene6296	547	366	1534	739	627	808	1659	2054	901	1330	889	2243	1647	368	943	868
gene6297	14	0	13	24	19	7	19	35	30	17	14	35	3	1	9	20
gene6298	47	12	98	32	30	47	72	63	27	45	47	120	87	16	18	33
gene6299	18	10	35	6	12	30	27	24	31	19	46	24	49	1	17	20
gene6300	7	10	12	3	13	6	20	48	9	9	10	26	40	9	17	9
gene6301	0	1	9	3	6	13	8	43	9	4	1	56	2	2	6	5
gene6302	95	30	254	99	29	52	56	65	84	75	53	147	83	26	44	44
gene6303	16	6	30	9	9	22	13	18	8	21	5	13	2	4	11	2
gene6304	83	41	166	80	85	157	107	225	220	178	153	272	187	52	109	115
gene6305	0	0	9	0	15	1	0	2	2	0	1	0	7	1	0	3
gene6306	1054	517	2660	995	583	1638	1765	3386	1412	2320	1333	2322	3096	402	1283	1430
gene6307	62	24	71	45	41	76	61	137	70	97	75	210	188	20	31	77
gene6308	14	5	46	15	20	24	55	69	36	28	38	39	63	10	47	26
gene6309	37	45	104	90	58	103	81	144	89	71	92	148	132	16	86	61
gene6310	212	109	267	153	194	228	291	691	210	316	248	418	398	115	206	163
gene6311	14	21	38	8	1	0	2	10	5	8	4	10	9	4	2	2
gene6312	2	5	2	4	4	11	4	9	8	13	16	1	1	2	10	5
gene6313	2	1	2	2	0	14	1	1	1	6	6	5	21	0	8	6
gene6314	0	0	10	8	0	1	6	20	11	1	11	13	1	5	2	3
gene6315	4	0	1	1	3	5	15	13	0	20	2	26	16	0	20	1
gene6316	21	2	51	7	4	10	2	14	11	19	16	17	18	3	4	11
gene6317	44	15	42	22	27	24	38	39	29	17	17	33	40	6	23	26
gene6318	888	560	2248	961	627	1278	1933	3175	1259	1139	1009	2486	1796	573	1146	1017
gene6319	383	206	663	402	372	446	617	818	511	662	563	838	808	226	436	272
gene6320	64	51	159	73	87	68	175	154	107	144	139	239	209	29	76	73
gene6321	10	3	3	0	5	9	4	14	2	6	15	4	12	1	1	6
gene6322	6	14	37	15	9	13	25	86	15	53	12	30	30	8	39	38
gene6323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene6324	230	89	548	228	157	302	402	596	248	437	251	688	598	116	222	193
gene6325	60	31	152	119	58	77	152	205	64	163	74	194	134	39	66	69
gene6326	6	4	21	2	3	19	5	3	7	16	25	67	16	1	12	9
gene6327	0	0	0	0	7	14	1	2	0	3	3	9	0	0	2	0
gene6328	4307	1943	6683	3038	2225	4689	4307	6831	5315	6442	3512	7429	7432	1548	3507	3449
gene6329	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0
gene6330	34	19	35	14	45	41	39	106	48	47	46	61	110	19	23	37
gene6331	1	2	0	2	4	2	0	7	15	12	2	2	4	0	1	1
gene6332	9	2	21	7	4	12	7	7	3	6	11	29	43	6	5	5
gene6333	43	26	145	25	71	73	95	97	29	94	86	140	101	15	44	20
gene6334	8	3	12	11	4	16	12	14	8	25	15	26	25	11	19	14
gene6335	93	60	315	150	138	215	171	484	269	191	197	452	356	53	146	137
gene6336	41	17	71	25	26	68	51	27	43	96	93	98	69	19	31	43
gene6337	49	8	15	12	43	43	185	200	123	154	111	101	133	42	69	151
gene6338	15	8	33	32	22	47	11	42	40	48	24	83	18	7	17	13
gene6339	16	4	33	32	26	17	16	39	72	84	34	43	35	9	26	6
gene6340	70	27	104	48	43	84	51	161	86	84	77	105	127	19	60	59
gene6341	71	35	87	56	239	391	380	578	432	791	368	834	730	120	652	245
gene6342	51	41	157	59	58	113	89	173	53	109	107	199	147	39	75	106
gene6343	17	10	5	4	20	22	35	18	13	25	15	43	11	3	9	20
gene6344	2	0	9	16	0	7	0	4	10	5	0	0	0	0	5	6
gene6345	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
gene6346	92	38	142	57	75	84	172	159	129	96	109	266	215	22	70	46
gene6347	101	32	100	49	70	86	113	224	69	91	117	129	205	20	39	44
gene6348	15	8	10	1	9	6	23	21	5	38	15	11	10	4	3	2
gene6349	10	11	34	27	4	18	23	52	18	29	23	99	23	1	17	13
gene6350	52	12	70	51	66	147	146	279	201	140	86	241	221	52	154	75
gene6351	132	81	302	146	555	929	626	1299	722	1566	716	1226	1109	264	509	692
gene6352	8	8	23	24	13	20	8	27	21	8	20	43	17	2	14	19
gene6353	717	348	1133	374	459	604	747	1546	1018	821	675	1349	1393	374	760	477
gene6354	59	15	40	38	19	36	31	40	28	30	33	56	67	19	30	26
gene6355	1	1	2	0	2	1	0	0	15	6	1	0	0	0	4	0
gene6356	0	1	4	0	0	6	9	5	19	0	0	1	11	0	0	0
gene6357	55	17	82	23	32	37	43	67	10	43	30	80	76	9	25	30
gene6358	176	61	321	132	131	201	200	427	283	399	183	414	383	72	166	175
gene6359	11	6	24	15	9	8	34	52	18	19	20	24	80	16	37	10
gene6360	49	29	72	40	100	189	191	190	145	189	90	434	261	40	117	126
gene6361	49	4	53	20	8	12	32	29	25	111	29	95	88	17	19	28
gene6362	18	2	27	9	1	5	3	16	4	6	3	7	7	3	6	9
gene6363	101	35	145	48	40	57	133	165	104	117	61	215	106	18	46	50
gene6364	2	0	0	1	1	0	1	1	2	0	2	0	0	1	1	0
gene6365	854	371	1244	820	540	800	1229	1168	1053	968	1210	2165	1681	435	1120	924
gene6366	220	111	351	152	54	87	95	215	92	135	125	233	237	53	83	97
gene6367	868	501	1857	645	584	965	1511	2250	862	1013	816	1284	1332	338	753	789
gene6368	36	37	34	40	27	86	57	97	61	63	47	89	67	16	35	34
gene6369	7	12	9	20	7	7	11	2	26	29	9	21	8	12	3	1
gene6370	1	3	1	0	0	0	0	0	0	0	5	0	0	0	0	4
gene6371	12	13	45	29	17	37	12	37	37	66	22	101	42	17	18	30
gene6372	18	27	63	27	57	94	24	100	41	57	28	52	48	19	31	15
gene6373	6	4	39	15	9	10	3	9	14	8	0	26	18	2	17	7
gene6374	112	74	345	163	102	141	184	369	263	207	172	543	459	78	143	165
gene6375	826	414	1426	773	536	936	1216	2059	1102	1277	997	2628	2108	336	886	776
gene6376	29	39	112	55	25	25	58	107	52	79	35	181	92	29	69	53
gene6377	189	79	548	211	168	431	170	312	278	361	255	580	642	151	240	267
gene6378	0	0	21	0	0	0	7	1	0	6	0	1	1	0	4	1
gene6379	344	184	541	238	226	463	336	813	429	488	380	858	339	130	354	387
gene6380	2819	1058	5304	2060	2114	2290	3778	6668	2949	3707	2902	6156	4950	1533	2585	2498
gene6381	125	52	211	66	97	96	169	292	128	124	149	274	208	44	83	62
gene6382	146	47	306	56	69	129	100	256	195	174	102	416	362	74	113	166
gene6383	45	5	98	32	15	29	52	90	51	48	21	37	81	20	32	29
gene6384	20	1	10	9	0	4	15	19	4	13	9	25	41	4	12	2
gene6385	1076	482	1858	1264	851	1350	1531	2080	1451	1927	1517	2768	1896	663	1119	857
gene6386	18	4	23	8	15	19	45	12	25	39	12	42	25	4	21	36
gene6387	4	0	1	0	0	0	0	9	0	0	0	6	1	0	0	1
gene6388	2660	955	3300	1835	1259	2221	2835	5966	2761	4356	2806	4223	4131	1080	1991	1429
gene6389	591	225	1184	599	445	579	778	1286	544	1252	770	1331	1143	255	538	658
gene6390	1181	720	2474	1198	952	1243	1330	1789	1871	2358	1244	2563	2679	625	1366	1037
gene6391	3	3	0	2	0	0	0	19	0	1	1	0	1	4	2	2
gene6392	8	7	31	19	6	13	37	24	13	50	21	30	45	12	15	10
gene6393	407	191	867	407	249	453	578	1233	697	726	410	1064	892	180	260	466
gene6394	168	80	401	157	101	133	316	442	173	257	230	489	386	70	153	135
gene6395	2	6	45	16	13	19	26	75	29	28	6	15	46	5	14	21
gene6396	1218	660	2536	1767	1054	1612	1770	3436	1709	1993	1962	3322	2946	781	1354	1667
gene6397	33	5	32	30	20	47	14	22	26	17	25	97	41	5	30	32
gene6398	2	0	8	0	0	0	3	1	0	3	1	5	0	3	1	0
gene6399	9	14	40	22	11	5	15	18	27	18	8	18	9	15	4	23
gene6400	12	0	26	19	11	20	20	18	23	21	44	43	75	10	12	24
gene6401	0	0	8	0	5	0	0	1	8	0	1	2	0	0	0	0
gene6402	503	268	932	491	401	589	690	1218	641	598	634	1173	1276	241	442	461
gene6403	907	508	1791	1181	988	1273	1253	2672	1308	1686	1699	2917	2129	696	965	957
gene6404	3	0	8	5	9	6	22	9	13	15	3	24	23	3	5	5
gene6405	295	123	449	323	154	240	378	655	365	359	247	503	618	96	205	289
gene6406	92	47	157	90	71	76	120	271	73	80	103	247	215	59	120	154
gene6407	0	0	2	0	0	1	0	0	0	3	0	1	4	0	0	0
gene6408	9	11	41	29	14	21	22	51	43	37	43	104	85	2	36	14
gene6409	142	85	301	101	104	177	278	341	201	215	248	352	353	88	175	134
gene6410	20	6	58	29	30	25	34	53	69	80	33	63	90	9	40	24
gene6411	1	0	10	2	4	0	2	0	1	3	4	0	2	1	5	1
gene6412	154	52	267	99	97	163	225	265	206	314	144	367	200	99	129	206
gene6413	241	145	390	165	178	209	227	389	275	279	322	257	558	97	203	171
gene6414	12	1	14	5	0	3	12	4	2	11	1	0	6	0	4	1
gene6415	2041	654	3080	1427	1319	2019	3096	3680	2533	3101	2105	4192	3749	1095	2154	2108
gene6416	9	7	46	28	6	15	43	52	32	33	24	76	43	13	39	26
gene6417	2104	883	3250	1133	1024	1843	3494	4166	2520	3168	2509	3990	2882	903	1459	1735
gene6418	4301	1866	7765	4349	2835	3746	6877	8103	6877	4557	6273	10145	8658	2333	3468	4852
gene6419	147	75	264	151	144	159	411	522	226	175	220	307	426	71	165	139
gene6420	64	9	112	39	20	43	54	55	58	83	47	97	61	28	34	83
gene6421	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
gene6422	0	0	0	0	0	4	0	0	1	6	0	0	9	0	0	0
gene6423	14	2	18	12	8	7	17	38	15	19	7	8	28	0	5	5
gene6424	3	3	9	5	5	4	21	11	3	5	13	24	12	4	2	0
gene6425	0	0	17	7	1	3	11	3	4	3	6	5	37	2	6	4
gene6426	0	0	0	3	0	0	0	0	4	1	0	2	2	0	0	1
gene6427	0	0	1	2	0	0	0	21	2	0	0	11	0	1	2	2
gene6428	101	54	168	79	53	79	160	166	135	172	61	251	191	32	54	74
gene6429	1	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0
gene6430	31	12	28	26	52	45	72	74	49	83	46	236	90	34	66	64
gene6431	140	77	229	149	156	135	152	373	174	244	163	341	255	91	110	162
gene6432	1	4	12	6	2	1	7	22	3	5	8	1	7	1	5	3
gene6433	49	40	204	93	67	66	124	229	74	197	91	167	205	25	81	73
gene6434	194	152	323	186	167	222	287	487	248	249	176	402	349	75	218	164
gene6435	0	1	0	0	0	0	0	3	0	1	7	0	1	0	0	0
gene6436	483	239	617	467	347	635	537	1289	677	564	600	772	742	183	504	431
gene6437	36	22	35	43	18	22	65	127	40	36	30	63	41	14	29	40
gene6438	12	6	15	21	15	14	37	46	18	28	41	47	46	13	20	9
gene6439	430	229	905	269	298	504	576	812	443	638	457	753	843	169	446	461
gene6440	1	0	0	2	0	13	5	7	3	2	2	1	5	0	2	4
gene6441	406	201	753	349	305	608	553	921	671	876	356	1338	969	180	525	403
gene6442	0	0	1	0	1	0	0	1	1	0	0	0	3	0	0	0
gene6443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene6444	3	0	6	4	3	4	19	19	2	16	7	40	4	7	2	3
gene6445	67	12	81	41	54	65	33	94	64	51	43	96	103	24	42	44
gene6446	573	318	1250	418	439	499	987	1608	859	1069	678	1294	1596	260	517	451
gene6447	567	211	1406	596	2625	3956	3805	10220	6509	4978	4112	9137	7624	2024	3402	3504
gene6448	25	12	56	13	36	33	22	104	28	34	41	45	73	9	25	43
gene6449	0	1	8	10	0	4	1	13	14	5	0	13	8	0	4	2
gene6450	1	0	0	1	2	0	0	9	0	0	0	4	31	1	1	0
gene6451	77	32	130	73	65	71	75	215	91	219	145	195	180	24	170	42
gene6452	30	39	84	39	37	71	56	94	62	114	37	87	88	17	33	46
gene6453	260	145	788	263	1698	3374	3309	6942	3724	4717	2170	7255	8602	1308	2835	2881
gene6454	117	55	179	77	74	116	123	236	124	167	139	219	203	34	138	60
gene6455	82	51	178	77	67	108	120	183	185	152	86	149	198	41	104	87
gene6456	9	4	27	14	3	26	27	23	5	21	25	23	34	13	9	2
gene6457	26	2	12	5	8	20	24	34	20	14	7	50	16	9	11	9
gene6458	92	31	80	110	54	71	78	176	103	111	85	159	81	53	137	30
gene6459	470	268	826	434	45	66	135	154	66	93	86	131	156	30	56	81
gene6460	338	176	595	247	281	343	332	595	308	312	313	624	476	134	345	183
gene6461	8	2	15	13	26	12	33	21	16	27	16	60	19	1	13	2
gene6462	3033	1416	4677	2395	2310	3823	3259	9027	3964	4416	3756	7782	6832	1135	3417	2930
gene6463	81	56	211	115	19	63	43	116	69	93	50	127	89	34	47	52
gene6464	473	204	886	395	484	522	835	1038	691	747	513	965	918	208	456	450
gene6465	21	3	35	6	8	19	31	28	18	32	18	7	10	3	15	11
gene6466	0	3	2	1	0	2	0	0	3	10	4	0	0	0	6	3
gene6467	4891	3530	15020	6766	5080	9590	10742	16263	8747	8525	7608	22588	17162	3914	6634	7469
gene6468	415	230	561	287	265	341	363	1076	313	652	496	852	959	216	356	452
gene6469	22	1	21	11	21	3	20	8	23	69	47	38	22	6	22	28
gene6470	20	10	19	17	8	7	24	39	32	42	55	44	64	16	28	11
gene6471	285	130	459	231	135	214	271	537	307	473	282	581	581	115	222	279
gene6472	15	1	7	10	7	11	6	42	12	7	4	5	15	9	11	3
gene6473	51	22	55	85	34	28	51	197	53	83	34	131	112	26	51	44
gene6474	97	56	267	75	47	82	182	165	105	155	59	265	210	30	70	52
gene6475	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene6476	75	40	133	48	47	149	82	277	93	146	78	167	196	30	116	60
gene6477	31	15	32	20	12	21	34	33	24	49	23	113	47	2	43	25
gene6478	307	136	571	202	214	324	300	756	459	337	257	675	918	186	320	356
gene6479	41	10	110	32	31	27	40	134	36	51	44	83	88	14	50	27
gene6480	50	42	152	53	96	79	68	192	48	105	90	167	133	36	56	77
gene6481	33	15	43	50	17	45	97	84	49	78	57	72	185	23	50	51
gene6482	13	9	60	22	28	32	57	76	48	28	31	35	63	13	25	49
gene6483	58	43	193	70	9	11	10	49	13	14	11	19	24	1	9	18
gene6484	85	21	159	107	14	25	25	23	43	48	42	66	52	17	43	38
gene6485	36	11	12	18	11	23	12	47	67	32	15	47	79	6	21	9
gene6486	17	7	11	7	11	17	21	31	10	15	35	33	18	9	9	5
gene6487	40	19	89	36	16	61	29	120	56	60	38	105	74	11	25	31
gene6488	249	90	344	176	139	207	212	330	250	340	243	496	423	84	168	138
gene6489	143	79	280	102	143	141	204	262	154	203	179	350	251	54	125	157
gene6490	152	55	277	100	259	284	785	866	571	489	357	757	910	166	329	350
gene6491	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0
gene6492	887	297	1329	700	426	833	841	1413	963	1115	874	1338	1237	257	815	597
gene6493	32	14	60	18	20	30	38	73	72	48	9	68	80	25	11	14
gene6494	8	2	3	4	7	10	12	41	14	7	1	25	1	6	3	4
gene6495	18	7	50	26	34	17	48	128	34	38	36	65	30	4	13	22
gene6496	133	87	192	170	92	146	221	381	147	263	202	418	310	68	128	93
gene6497	36	19	50	17	33	51	27	174	53	99	22	129	62	33	21	30
gene6498	147	57	216	111	117	137	158	179	119	151	202	316	241	54	98	71
gene6499	842	423	1659	745	614	808	1598	1481	1043	1235	957	2005	1614	390	869	892
gene6500	0	0	0	0	0	0	0	4	0	0	0	0	0	0	14	1
gene6501	14	4	24	5	4	13	18	30	9	5	25	15	7	5	1	2
gene6502	71	38	182	80	45	59	101	196	116	94	128	242	175	40	82	140
gene6503	102	49	114	86	60	47	107	305	95	133	124	235	159	37	147	84
gene6504	63	31	98	37	24	71	70	105	49	108	70	38	162	20	38	41
gene6505	6	4	22	2	5	15	1	45	15	3	13	12	19	2	1	17
gene6506	23	7	50	4	23	33	27	48	9	25	20	166	14	3	39	25
gene6507	1842	1101	3765	1952	1664	2335	3353	4941	2835	2984	2597	4181	4739	902	1928	1467
gene6508	31	12	47	36	11	24	27	55	13	41	47	48	94	18	30	14
gene6509	0	0	2	0	4	13	0	1	1	2	0	0	0	0	0	0
gene6510	93	34	178	101	90	114	105	200	155	169	122	285	319	72	138	136
gene6511	1850	1020	2696	1636	384	429	613	861	468	759	474	1118	799	192	442	475
gene6512	9	1	0	0	0	3	5	0	0	0	0	0	4	0	3	0
gene6513	113	72	250	111	51	144	118	304	115	147	122	233	240	49	172	119
gene6514	2	7	14	0	2	19	6	19	7	6	2	2	16	1	2	1
gene6515	13	0	6	1	1	6	0	0	0	4	2	2	1	1	4	0
gene6516	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0
gene6517	8	0	1	8	3	1	5	32	4	1	6	27	3	1	11	2
gene6518	279	172	809	360	264	332	382	599	455	525	373	795	559	185	301	347
gene6519	15	1	4	0	2	5	6	10	10	19	8	8	11	0	0	1
gene6520	127	58	271	70	105	123	125	283	203	151	163	342	223	75	117	109
gene6521	112	63	153	52	65	53	100	214	66	156	82	226	134	50	81	80
gene6522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene6523	2124	967	3201	2106	558	713	990	1859	1076	1320	936	1716	1443	381	801	555
gene6524	52	17	101	36	57	45	85	108	74	76	68	77	101	31	60	47
gene6525	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
gene6526	251	162	430	294	225	454	563	791	483	394	362	996	751	139	278	399
gene6527	0	2	1	1	6	3	0	0	2	0	8	0	0	0	1	0
gene6528	56	31	120	23	60	48	80	105	98	136	65	179	113	44	41	50
gene6529	99	49	223	115	43	195	141	229	147	177	128	433	278	50	90	88
gene6530	16	0	13	2	3	1	3	5	4	3	0	4	29	4	1	6
gene6531	75	58	79	77	68	119	121	172	115	112	108	336	172	46	87	119
gene6532	455	323	547	346	277	425	547	1095	556	780	450	1056	700	272	430	403
gene6533	12	1	14	3	2	3	5	7	2	4	1	14	2	3	1	1
gene6534	36	9	84	26	34	38	50	57	27	49	41	57	29	13	41	20
gene6535	227	167	584	280	314	330	405	739	482	477	417	769	678	115	349	261
gene6536	1	2	2	1	3	0	0	4	2	6	7	1	8	0	1	4
gene6537	13	6	40	32	12	12	16	46	27	20	9	21	26	9	32	15
gene6538	23	10	57	36	12	24	21	53	30	29	27	20	64	9	12	30
gene6539	22	0	15	1	3	10	4	34	19	15	6	9	4	6	10	2
gene6540	25	17	66	37	43	21	39	78	43	50	43	39	41	7	31	22
gene6541	1	0	2	0	0	0	0	0	0	0	0	0	1	0	3	1
gene6542	2	0	0	2	1	3	6	9	0	5	15	1	3	1	1	0
gene6543	367	180	709	328	378	546	630	1020	607	834	558	1298	938	207	391	396
gene6544	276	103	409	171	176	276	333	560	232	353	225	682	646	130	302	283
gene6545	16	10	29	9	16	12	37	36	20	22	4	49	11	9	27	5
gene6546	4060	1485	9470	3009	2807	4134	6943	8652	4453	7855	3572	10435	6634	1834	3760	3729
gene6547	517	189	896	399	365	530	626	780	819	825	675	1016	763	198	441	575
gene6548	1349	598	2491	938	431	597	903	1476	625	1007	780	1564	1081	319	910	609
gene6549	17	6	26	7	9	22	21	55	14	9	19	45	12	6	13	12
gene6550	51	24	95	34	58	66	53	91	64	54	57	107	129	26	54	75
gene6551	25	4	17	10	1	5	16	8	31	6	5	5	7	3	12	7
gene6552	5457	2423	13041	4802	3828	5986	8498	13952	6375	8303	6964	12660	14141	2713	7284	6615
gene6553	43	28	58	34	25	42	57	128	47	74	38	102	89	18	37	33
gene6554	263	102	479	174	178	344	242	712	293	463	328	382	425	93	246	201
gene6555	33	10	34	50	25	21	37	85	66	62	33	50	74	14	42	31
gene6556	95	51	129	56	86	71	114	137	120	117	134	205	328	36	101	53
gene6557	47	38	63	51	48	103	113	166	126	93	107	154	101	41	91	65
gene6558	0	0	0	0	0	11	0	6	5	7	0	7	2	0	0	1
gene6559	86	71	108	57	53	53	131	152	87	139	97	222	222	30	101	113
gene6560	14	2	6	4	0	0	4	5	2	0	0	3	0	0	0	1
gene6561	760	377	1428	564	871	769	1212	1956	1166	1817	917	2576	1725	438	818	762
gene6562	307	121	475	314	191	352	410	487	439	469	388	738	547	164	267	323
gene6563	2	4	22	8	1	9	19	10	3	6	3	1	7	7	2	16
gene6564	15	8	28	5	20	17	9	26	12	60	9	23	48	7	20	14
