gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	normal_7	normal_8	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8
gene12119	14	6	4	8	4	45	15	6	5	0	1	2	16	3	0	13
gene12120	46	45	10	35	18	87	23	12	4	5	6	3	5	2	2	6
gene12121	1924	1453	1004	2401	783	5219	1754	1005	2528	1504	1195	2414	8793	1704	1825	4222
gene12122	137	198	64	145	102	350	134	75	545	456	312	588	2704	339	188	1383
gene12123	1	4	0	0	3	1	6	3	4	0	3	0	10	6	3	7
gene12124	718	860	433	916	281	1837	532	563	499	308	199	418	1294	259	169	722
gene12125	42	35	18	53	15	60	20	46	12	4	12	18	21	13	26	57
gene12126	307	298	140	358	179	628	199	134	144	109	77	190	429	101	65	220
gene12127	4	10	2	7	4	15	6	11	2	0	2	8	2	1	1	9
gene12128	382	403	175	322	112	890	264	218	315	163	104	156	686	131	129	422
gene12129	92	73	21	69	41	165	32	24	54	31	21	25	172	13	12	31
gene12130	3	3	3	2	0	26	7	0	4	0	0	13	9	0	1	4
gene12131	19	15	21	51	18	94	22	15	2	4	2	5	6	0	0	3
gene12132	269	436	90	336	117	748	167	111	1419	946	504	870	5580	600	701	1495
gene12133	64	160	23	93	29	170	85	47	89	56	26	25	197	22	13	85
gene12134	571	668	211	553	302	1264	383	261	316	123	108	320	877	183	144	305
gene12135	293	358	170	344	143	716	127	175	142	143	60	146	984	81	130	242
gene12136	54	87	35	66	16	171	23	26	37	25	9	42	72	31	9	43
gene12137	56	25	7	55	16	31	11	26	17	23	9	22	60	9	2	20
gene12138	3499	4165	1187	3625	1270	6004	2337	1886	1987	906	1004	1668	6436	842	1108	3392
gene12139	0	0	0	2	0	0	0	0	0	1	2	3	0	0	0	0
gene12140	106	126	24	72	44	254	56	41	71	23	12	40	186	42	26	162
gene12141	2978	3625	1135	2742	1132	5014	1821	1360	1792	901	677	1506	6655	1517	968	2512
gene12142	16	3	11	25	14	14	12	9	0	0	2	1	5	1	1	5
gene12143	146	104	42	88	59	326	92	64	57	61	24	79	334	58	43	89
gene12144	19	31	9	9	2	19	13	3	12	17	0	9	13	11	7	31
gene12145	0	0	2	1	0	0	0	0	0	0	1	1	0	3	0	7
gene12146	261	291	124	261	98	375	122	58	155	65	58	71	379	46	65	155
gene12147	190	171	65	227	97	302	192	67	56	73	47	103	315	53	27	109
gene12148	23	3	1	50	10	38	10	26	8	6	9	7	35	7	3	24
gene12149	21	41	12	45	18	24	22	15	29	17	12	16	45	12	6	13
gene12150	27	30	12	31	10	32	8	3	22	18	4	17	14	3	8	24
gene12151	29	8	9	4	9	9	7	3	18	2	6	10	24	4	3	8
gene12152	386	605	205	462	190	859	368	358	183	218	151	237	782	85	193	505
gene12153	2	0	2	28	0	13	0	0	0	0	0	2	2	0	0	6
gene12154	6	15	0	0	3	1	15	4	6	2	3	0	7	0	1	4
gene12155	64	50	17	38	16	81	19	23	15	9	2	15	182	13	6	24
gene12156	99	113	44	138	49	218	125	59	115	37	44	71	237	36	47	127
gene12157	36	41	21	49	5	65	20	11	18	22	10	13	46	16	12	17
gene12158	1003	1124	482	1448	544	1725	1166	541	642	314	158	502	1877	465	247	962
gene12159	6	5	9	13	0	22	15	0	15	12	6	4	0	19	1	29
gene12160	1221	1238	591	1215	478	2670	1023	685	670	488	230	851	2858	386	259	1301
gene12161	70	112	61	51	42	209	58	41	53	78	34	50	149	30	21	87
gene12162	2253	3115	799	2517	1019	5899	1976	790	1277	808	558	980	5268	932	587	2362
gene12163	602	616	217	596	302	1182	420	298	411	238	158	274	1098	163	150	566
gene12164	585	786	196	601	213	1222	386	317	279	247	130	216	1189	200	123	503
gene12165	38	27	32	70	35	47	21	17	37	13	8	21	98	18	10	57
gene12166	6	20	15	14	3	29	4	6	10	8	7	4	22	0	2	11
gene12167	0	2	0	0	1	11	0	0	4	0	0	0	0	5	0	4
gene12168	836	1074	442	851	328	1820	473	405	382	364	213	405	1869	371	207	671
gene12169	66	180	53	51	24	238	80	34	567	241	106	185	1073	162	148	375
gene12170	739	728	268	488	252	1437	421	252	338	213	154	351	1613	188	172	593
gene12171	113	227	61	137	66	340	102	58	96	47	45	98	388	74	74	182
gene12172	2190	2273	926	1603	682	3055	1115	733	942	780	402	916	2922	584	552	1406
gene12173	2	4	7	3	4	7	0	2	3	0	2	4	9	0	0	4
gene12174	94	241	56	153	50	400	107	60	55	68	42	46	300	76	35	170
gene12175	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene12176	3366	3647	1336	3320	1628	5472	2114	1126	1608	1160	799	1646	6341	1044	720	2710
gene12177	46	47	24	50	16	65	49	9	19	19	12	33	66	15	31	85
gene12178	51	109	27	71	62	110	34	42	25	35	13	17	134	27	15	55
gene12179	3408	3583	1619	2475	1632	5716	2173	1383	1590	1373	842	1517	6869	1177	805	1979
gene12180	0	4	5	9	0	0	1	0	0	5	0	0	13	0	0	3
gene12181	1065	1094	289	1073	381	1721	527	391	482	405	235	380	1442	253	251	979
gene12182	37	0	5	4	12	3	3	6	10	4	3	7	24	1	2	4
gene12183	2024	2487	980	1742	1230	5088	1536	1039	1453	768	586	1197	5338	747	807	2106
gene12184	0	0	0	1	1	1	5	0	0	0	0	0	0	0	0	0
gene12185	146	135	80	152	45	235	109	61	82	44	32	60	384	49	58	80
gene12186	53	47	39	64	65	168	42	7	20	30	23	23	177	27	17	43
gene12187	34	53	14	31	17	114	34	23	28	16	6	25	80	19	13	14
gene12188	98	63	34	32	28	180	112	32	208	135	82	228	566	117	105	261
gene12189	2779	2053	1035	2332	1025	6398	1859	972	1387	1063	573	1353	7235	666	734	3212
gene12190	915	752	349	1100	464	2507	546	338	546	264	202	430	1540	304	278	782
gene12191	11	8	3	39	0	14	2	16	20	1	1	2	3	0	4	13
gene12192	259	352	187	343	124	479	268	139	114	145	72	165	776	88	116	335
gene12193	118	131	32	113	63	298	100	46	34	50	28	92	176	51	23	85
gene12194	22	12	10	15	7	67	20	2	16	16	1	11	51	0	16	34
gene12195	12	10	17	36	11	21	17	4	9	3	8	19	16	9	8	20
gene12196	1366	1903	836	1571	670	3388	1301	818	573	629	259	772	3018	631	506	1631
gene12197	11066	10245	3552	10320	2799	23348	8160	5746	18523	11347	6691	20474	44486	7821	7682	26041
gene12198	0	3	3	0	5	11	0	0	5	0	0	9	0	0	1	5
gene12199	6785	7353	2832	8837	2792	15416	5073	3637	3958	3318	1376	3980	17951	1485	2325	8604
gene12200	18366	21106	7358	15421	7560	30163	14160	6946	5716	2907	2472	3679	17703	2495	2453	8118
gene12201	71	61	38	70	23	145	102	13	24	33	33	19	144	34	25	78
gene12202	116	105	21	87	34	206	42	60	54	19	28	53	137	32	29	67
gene12203	294	612	185	298	161	433	193	113	178	88	86	156	549	94	87	327
gene12204	1112	875	364	901	471	1614	644	449	782	438	282	441	1397	341	241	862
gene12205	194	222	34	203	43	464	173	76	32	19	7	54	77	27	12	42
gene12206	130	299	82	231	105	249	148	93	58	31	25	60	175	25	27	93
gene12207	40	92	39	55	13	133	17	16	22	13	14	12	92	21	9	73
gene12208	855	976	383	1019	318	2060	390	440	2435	1005	843	1317	5155	737	773	1982
gene12209	407	682	360	572	245	1052	528	237	381	237	98	352	997	143	145	530
gene12210	1	3	1	13	1	15	4	5	1	1	1	18	23	1	1	3
gene12211	47	38	18	29	13	53	27	14	17	3	1	12	26	5	4	28
gene12212	23	13	4	8	8	49	12	11	11	10	9	8	46	26	1	3
gene12213	17	15	7	8	4	11	2	4	18	2	7	7	61	4	6	9
gene12214	121	162	23	94	34	121	69	31	56	24	25	44	100	37	14	72
gene12215	39	34	6	40	20	29	16	7	12	3	10	10	11	23	6	41
gene12216	29	47	15	40	5	39	20	3	29	17	8	8	70	16	14	24
gene12217	4	11	8	16	19	63	5	1	5	4	2	2	20	3	7	26
gene12218	264	324	94	219	88	367	160	66	145	71	48	105	343	67	65	156
gene12219	512	705	206	518	215	1158	226	206	189	193	78	125	690	134	121	439
gene12220	2420	2426	975	1855	1047	4430	1327	1037	1162	991	626	1067	5030	871	946	1671
gene12221	6	28	6	26	1	35	16	3	3	1	2	2	21	11	9	6
gene12222	21	1	0	13	0	3	3	9	6	0	0	2	2	2	2	2
gene12223	40	9	12	47	12	64	15	13	49	45	63	13	238	38	15	166
gene12224	12	22	4	8	5	24	5	12	8	6	0	3	5	0	4	1
gene12225	0	6	0	7	7	0	2	7	4	1	7	0	5	0	0	3
gene12226	10	21	2	23	1	79	12	0	21	5	2	1	25	1	2	20
gene12227	360	239	150	301	100	553	209	88	184	77	68	103	600	91	66	255
gene12228	11436	9922	4668	9362	3665	25177	8526	5176	47433	27090	15746	27694	139759	18793	17084	58929
gene12229	440	473	215	516	178	940	249	252	185	205	167	261	873	105	174	414
gene12230	5	1	5	13	1	23	7	1	5	3	1	2	16	3	1	20
gene12231	116	154	51	99	70	284	68	28	65	52	20	85	373	22	29	134
gene12232	49274	64895	18392	53759	30543	105006	34964	22146	25269	22052	12414	25895	122918	19594	16090	45798
gene12233	53	113	22	55	25	43	14	19	38	23	14	27	75	9	10	32
gene12234	0	20	10	5	4	3	0	0	3	2	0	9	4	0	1	0
gene12235	71	14	22	73	17	77	36	29	13	14	13	25	116	11	18	50
gene12236	49	39	3	23	12	43	22	13	14	13	7	18	72	11	9	16
gene12237	6	2	3	0	4	16	10	0	0	4	2	1	0	2	2	6
gene12238	47	107	27	35	27	83	32	40	50	24	15	21	231	9	24	28
gene12239	26	71	18	67	20	44	41	44	19	25	13	13	77	17	14	36
gene12240	2581	2560	669	2503	1075	4072	1351	926	1157	666	537	1346	4266	523	644	2433
gene12241	329	435	109	335	131	492	187	166	143	77	68	99	563	69	95	152
gene12242	2	0	2	0	0	0	7	2	0	0	0	0	0	0	4	0
gene12243	218	274	38	139	101	275	140	57	93	47	58	132	416	58	57	162
gene12244	39	67	8	72	18	122	40	21	27	27	6	24	102	18	14	38
gene12245	87	69	35	78	24	157	69	42	71	22	12	28	116	17	14	35
gene12246	988	1461	476	1109	436	1373	636	297	403	318	248	463	1764	391	235	855
gene12247	23	12	3	9	2	50	3	10	17	15	2	5	14	0	13	5
gene12248	37	70	6	27	12	47	17	11	8	16	9	7	45	8	6	16
gene12249	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12250	26	68	12	10	3	12	30	13	20	18	7	13	71	20	9	20
gene12251	5	33	4	4	4	8	4	9	53	7	19	15	10	10	16	70
gene12252	24	11	4	3	9	7	6	2	1	0	0	0	13	0	0	14
gene12253	188	137	56	164	50	270	133	63	41	51	23	59	224	35	37	158
gene12254	16169	13491	6373	11489	6413	25736	9344	6088	8151	4735	3693	8103	21471	4783	3473	13710
gene12255	15782	15929	5201	10363	6629	24357	6772	5806	7030	3984	3704	5691	29857	3901	5416	12716
gene12256	3519	3150	1066	2603	1437	4777	2152	1292	1892	1074	791	1407	4998	1052	793	2154
gene12257	353	382	123	214	130	813	185	175	334	329	192	246	1587	249	215	1182
gene12258	2408	2059	1003	2661	813	4459	1525	699	1438	926	734	1315	4450	521	732	1399
gene12259	0	10	1	1	0	1	0	0	0	5	0	0	1	3	1	1
gene12260	9	11	7	9	7	13	34	31	23	4	2	9	54	6	10	17
gene12261	557	641	333	750	216	1922	310	233	488	290	196	400	1329	191	200	800
gene12262	166	176	45	106	77	270	109	74	69	41	27	48	318	66	38	113
gene12263	14	27	15	14	9	24	9	8	8	11	0	19	19	4	2	14
gene12264	18	5	9	24	23	56	20	5	18	29	22	15	190	26	36	117
gene12265	12	7	10	23	3	64	19	2	69	10	6	38	83	8	41	51
gene12266	709	629	307	736	295	1546	699	342	424	271	162	305	1429	273	213	505
gene12267	83	69	25	99	33	108	27	64	40	36	23	20	157	31	24	63
gene12268	0	2	1	2	0	0	2	0	0	0	3	0	0	0	0	21
gene12269	0	0	2	0	0	0	3	0	0	0	1	0	1	5	0	0
gene12270	6	1	6	48	5	11	1	7	19	11	0	5	46	5	7	10
gene12271	1	1	1	0	0	0	0	3	1	0	0	0	0	2	0	0
gene12272	302	479	109	356	169	490	182	144	188	104	86	186	617	91	85	477
gene12273	44	38	13	32	24	8	13	6	12	6	9	7	81	9	7	4
gene12274	209	196	87	164	75	320	150	80	199	158	77	162	713	107	128	353
gene12275	1947	2093	541	1419	710	3124	1180	787	1049	639	486	960	2531	617	660	1570
gene12276	211	453	154	308	93	541	244	127	847	596	237	408	1708	208	287	570
gene12277	34	57	10	13	9	38	23	8	27	13	4	5	46	9	9	28
gene12278	24	41	20	46	18	96	26	24	18	3	6	20	114	27	15	31
gene12279	2	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0
gene12280	1177	1182	402	1025	498	2181	556	678	4534	2901	1790	3758	10287	2423	1720	6044
gene12281	276	447	141	281	142	702	256	164	175	130	89	129	611	116	99	412
gene12282	57	41	26	32	24	98	41	33	25	15	10	11	129	21	33	34
gene12283	1	0	1	12	0	37	0	0	2	0	0	0	8	0	0	5
gene12284	225	411	136	258	223	610	252	123	161	101	80	154	570	125	97	332
gene12285	2083	2490	1040	2123	1059	4066	1696	1084	1481	749	584	1002	5517	640	634	2191
gene12286	197	423	81	277	140	535	120	146	124	126	67	129	526	78	90	290
gene12287	1	1	1	37	1	0	2	3	2	0	1	1	13	2	2	0
gene12288	22	14	6	23	6	36	20	9	2	2	7	13	29	5	3	48
gene12289	9	22	10	3	13	5	6	1	11	17	6	8	5	1	1	6
gene12290	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0
gene12291	3	0	0	2	0	1	1	0	0	1	0	0	7	0	0	0
gene12292	25	51	38	47	12	26	33	23	14	24	8	10	94	16	12	46
gene12293	55	77	6	21	36	53	28	21	75	60	55	93	252	62	44	176
gene12294	205	41	55	122	29	208	56	35	85	43	17	85	198	37	31	112
gene12295	16	9	7	23	12	67	27	8	18	26	10	4	63	14	8	3
gene12296	4079	5288	2012	4282	1935	8759	4041	2558	839	418	360	683	3452	486	381	1390
gene12297	7	18	0	10	1	6	4	0	0	0	0	1	1	1	0	1
gene12298	17	1	3	3	0	14	1	2	4	4	0	1	30	0	1	1
gene12299	313	290	148	263	97	927	221	160	132	93	57	179	604	96	73	257
gene12300	106	171	54	98	53	148	74	58	60	35	18	63	253	40	37	84
gene12301	431	446	232	631	304	1353	367	252	251	252	123	183	838	146	130	629
gene12302	42	67	7	35	27	87	51	19	37	51	17	51	54	15	8	31
gene12303	408	550	227	480	198	808	306	153	351	161	56	240	1113	149	188	392
gene12304	7	6	2	15	6	7	1	1	3	0	0	1	15	2	0	0
gene12305	33	111	36	69	54	120	59	17	61	33	14	33	212	30	14	72
gene12306	36	9	2	4	4	40	5	3	1	0	1	3	11	5	1	8
gene12307	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0
gene12308	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
gene12309	393	561	151	691	273	764	414	268	364	196	124	288	873	111	103	463
gene12310	19	39	3	45	9	67	13	11	10	11	5	13	14	8	5	14
gene12311	68	68	27	92	33	185	26	24	45	28	6	25	78	17	20	82
gene12312	12	17	7	21	0	51	6	5	36	5	2	8	56	7	4	13
gene12313	22	38	4	7	3	45	1	9	4	4	4	6	5	6	5	31
gene12314	127	92	82	113	60	192	98	61	67	28	23	64	154	26	37	176
gene12315	2691	3295	751	2416	1047	4205	1614	964	1528	1184	671	1520	5605	729	762	2458
gene12316	55	32	18	52	5	60	19	6	15	16	7	12	63	7	9	24
gene12317	110	88	40	64	22	124	73	46	52	30	11	26	179	11	38	59
gene12318	100	105	13	108	39	176	57	45	42	49	20	40	116	18	23	133
gene12319	44	60	15	66	10	118	20	35	10	33	5	32	138	16	14	60
gene12320	72	52	31	101	31	117	40	51	36	30	25	11	198	27	19	110
gene12321	75	145	73	131	54	203	63	67	96	35	37	64	217	35	43	25
gene12322	166	128	49	130	96	327	80	42	64	49	16	73	249	57	22	78
gene12323	27	19	4	4	7	8	16	9	6	4	2	4	11	5	4	30
gene12324	51	37	21	73	41	79	79	19	20	17	12	28	19	20	2	48
gene12325	107	99	47	100	78	195	57	60	103	48	31	76	229	36	20	100
gene12326	1	22	3	20	8	20	48	20	2	6	3	3	30	6	0	9
gene12327	1	0	0	0	4	4	2	0	0	0	0	0	0	1	2	1
gene12328	16	7	6	12	1	19	4	25	5	10	3	31	32	8	2	4
gene12329	2045	2527	800	1951	948	3829	1405	1005	1119	799	598	1257	5250	541	671	1989
gene12330	6	27	2	14	2	47	6	11	7	7	6	8	51	6	4	5
gene12331	128	93	45	78	46	434	81	88	79	65	35	52	361	20	27	112
gene12332	13	9	0	3	0	0	15	0	8	1	0	0	0	5	0	2
gene12333	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0
gene12334	2	0	0	1	1	32	1	4	4	4	1	3	0	1	0	1
gene12335	243	406	140	392	204	725	299	196	54	52	21	50	227	35	27	76
gene12336	180	166	62	147	59	317	88	86	155	85	38	75	300	54	44	167
gene12337	84	55	22	86	18	105	18	19	27	22	19	30	113	14	14	64
gene12338	68	157	36	96	15	300	76	54	45	33	42	71	374	35	34	100
gene12339	115	229	51	122	26	295	71	53	98	52	47	69	284	40	76	149
gene12340	132	151	36	107	50	136	87	35	41	52	33	57	122	40	51	148
gene12341	87	76	41	70	16	260	86	33	40	42	23	76	81	41	60	118
gene12342	13	41	16	65	18	59	26	25	24	7	5	5	108	3	17	37
gene12343	302	245	100	244	144	524	194	137	19	13	8	23	85	15	11	26
gene12344	31	57	3	43	16	37	37	9	20	10	1	14	106	16	25	44
gene12345	489	910	254	499	246	1342	502	214	315	123	97	203	972	213	165	523
gene12346	23	40	5	0	1	6	5	10	310	9	16	74	23	23	54	71
gene12347	780	869	381	769	331	1514	506	299	460	357	168	457	1416	194	195	744
gene12348	2	2	1	0	1	3	0	1	3	6	0	1	10	0	1	3
gene12349	48	38	16	28	10	66	21	9	29	10	10	17	43	13	13	36
gene12350	65	88	28	81	24	133	44	37	36	13	13	21	69	25	11	36
gene12351	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
gene12352	251	422	132	337	95	591	148	117	164	120	87	193	612	105	58	216
gene12353	221	416	117	184	69	858	134	127	144	68	70	109	582	95	81	254
gene12354	82	44	14	93	25	69	80	41	13	4	4	10	21	4	2	16
gene12355	403	234	161	221	150	657	212	165	240	167	80	114	643	125	109	332
gene12356	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	0
gene12357	265	235	100	324	76	366	91	76	97	79	44	115	663	67	67	241
gene12358	5396	7589	2695	6536	3072	13246	4192	3344	4032	2457	1682	4819	14029	1841	2113	5639
gene12359	59	79	19	49	40	148	71	32	52	44	29	30	97	18	18	33
gene12360	48	47	17	20	35	87	19	20	24	12	9	38	62	13	13	45
gene12361	396	536	133	296	151	821	340	133	189	119	72	229	773	104	142	246
gene12362	7	3	4	5	3	12	6	0	4	1	7	0	10	1	2	8
gene12363	466	490	155	540	201	1228	267	338	333	247	167	303	989	192	177	668
gene12364	42	41	11	37	18	54	31	8	41	5	7	26	20	12	9	40
gene12365	31	7	14	8	5	15	17	3	6	14	1	6	41	0	7	17
gene12366	45	26	13	23	21	24	17	9	87	37	26	77	525	46	24	187
gene12367	126	143	61	138	57	255	81	68	83	61	46	36	267	41	34	111
gene12368	5781	11201	3254	8967	3001	15357	5845	3497	4454	2421	1710	3703	12680	2877	2960	7256
gene12369	81	68	37	127	45	210	104	37	68	19	17	62	231	58	45	117
gene12370	60	45	14	57	23	144	45	20	16	21	11	16	105	19	18	70
gene12371	10468	11522	3465	9956	3160	15792	6319	4864	5115	2766	2456	4723	18122	3537	3134	8905
gene12372	25	3	8	2	0	6	2	0	8	0	0	52	0	3	2	96
gene12373	186	160	89	152	63	238	147	70	137	61	28	98	363	63	52	168
gene12374	392	531	226	348	181	850	352	203	286	211	93	260	918	152	135	315
gene12375	339	784	177	359	143	736	273	175	216	127	86	221	716	124	113	358
gene12376	221	150	66	194	38	403	62	96	71	66	48	123	297	47	34	134
gene12377	147	208	83	174	59	387	86	70	151	58	36	74	552	67	81	171
gene12378	740	801	395	895	265	1435	473	397	409	241	211	459	1335	329	334	606
gene12379	29	17	3	53	29	25	3	4	9	13	6	8	47	4	14	25
gene12380	8	10	6	21	3	41	7	5	18	0	1	6	19	8	7	33
gene12381	12	12	2	12	0	46	15	7	7	4	12	2	11	2	4	8
gene12382	11000	12356	4564	8877	3621	17214	5418	4717	50161	26255	14809	38002	98951	20793	18174	63071
gene12383	2	0	0	0	0	0	2	0	0	1	0	0	1	1	1	0
gene12384	6	10	2	2	1	14	5	2	0	3	1	6	6	4	1	1
gene12385	1220	1331	494	954	444	1842	755	510	571	350	305	515	2450	280	376	808
gene12386	247	290	106	229	132	329	154	83	126	89	47	112	458	68	75	192
gene12387	0	2	4	7	12	29	7	4	0	6	0	9	23	6	4	1
gene12388	87	84	49	96	50	282	57	26	45	27	32	42	137	24	12	56
gene12389	22	19	9	17	6	52	4	10	13	8	0	6	41	19	3	4
gene12390	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
gene12391	45	21	3	3	8	60	4	11	29	9	7	10	71	4	6	13
gene12392	126	157	54	156	65	183	122	43	68	56	23	47	349	29	34	81
gene12393	3631	4676	1250	3091	1125	7327	1598	1405	1777	951	912	1745	6970	952	1069	3363
gene12394	3050	3306	1762	2608	1670	7738	2049	1547	1482	1235	869	1650	5876	1040	1114	3024
gene12395	275	371	142	329	159	617	179	157	144	103	49	127	505	84	54	249
gene12396	16	23	2	3	22	44	4	0	5	2	0	3	62	13	2	18
gene12397	656	757	174	463	191	1197	367	183	276	172	144	222	831	171	144	383
gene12398	10	5	9	8	2	24	3	7	2	14	5	2	32	3	3	10
gene12399	30	52	18	35	17	53	15	19	52	8	15	12	11	3	14	36
gene12400	6	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0
gene12401	40	72	28	70	26	126	68	28	50	18	17	25	75	23	33	42
gene12402	4	1	0	0	1	1	1	0	0	0	0	0	3	0	0	0
gene12403	29	57	13	50	18	79	40	15	21	16	9	10	53	3	6	31
gene12404	44	80	39	41	28	126	59	27	18	11	9	14	44	19	11	58
gene12405	1686	1440	717	1602	626	2905	1199	559	952	770	570	904	4581	557	468	1757
gene12406	6	11	3	9	1	11	14	7	19	3	4	2	3	3	5	10
gene12407	17	0	1	0	0	10	3	1	0	2	0	3	15	0	1	1
gene12408	0	0	0	1	1	2	0	0	0	1	6	0	8	0	0	0
gene12409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12410	14	23	3	6	18	33	26	7	15	21	8	41	84	28	10	32
gene12411	231	296	87	173	86	361	204	77	160	104	68	126	382	76	41	263
gene12412	178	110	85	163	42	350	88	101	67	66	39	89	531	55	61	145
gene12413	713	939	226	646	419	1460	620	240	404	224	175	377	1157	238	155	473
gene12414	1819	1845	627	2236	804	4262	817	865	1214	683	451	1140	3886	523	479	1468
gene12415	18046	16355	6011	17560	7413	27432	13168	8015	7481	6334	3851	8438	34954	5506	4904	12159
gene12416	45	132	46	91	36	210	91	80	66	30	22	32	121	38	29	141
gene12417	1094	1655	327	752	615	2758	800	461	3596	2801	1688	2986	19141	2272	1252	5011
gene12418	47	63	17	60	33	144	66	31	51	22	28	49	101	3	31	56
gene12419	176	266	96	244	144	458	231	92	200	117	46	154	442	50	68	159
gene12420	3044	2031	828	1868	881	4322	1494	1071	1818	921	496	893	4391	769	784	2188
gene12421	26	60	5	27	2	62	12	2	4	10	8	16	20	14	3	21
gene12422	289	554	106	427	128	671	257	197	274	117	78	207	663	138	109	244
gene12423	5	5	1	1	0	21	0	1	1	2	1	0	36	1	1	3
gene12424	23	40	11	23	3	20	32	15	15	12	8	8	74	8	5	30
gene12425	43	95	13	45	16	146	24	33	36	7	14	33	116	15	17	107
gene12426	197	247	113	243	109	429	152	94	150	72	59	106	427	94	58	217
gene12427	0	2	0	1	0	1	0	0	2	0	1	0	4	5	1	0
gene12428	1	1	5	8	3	10	1	3	3	5	8	4	24	31	16	9
gene12429	263	383	169	338	129	640	192	150	245	98	79	134	788	126	87	351
gene12430	358	475	154	406	154	932	275	129	238	105	97	163	691	71	131	354
gene12431	0	0	0	0	3	0	9	0	0	0	0	1	1	0	0	1
gene12432	249	156	90	158	54	297	199	90	94	80	51	44	465	64	44	116
gene12433	16	8	5	47	11	78	10	9	12	23	4	12	53	4	0	19
gene12434	1	3	0	0	0	3	0	0	0	0	0	0	2	5	1	4
gene12435	0	4	5	5	0	15	1	0	0	0	0	0	0	0	2	2
gene12436	301	280	84	223	115	358	188	163	166	64	55	143	431	82	71	117
gene12437	156	154	57	174	54	232	45	63	33	58	12	50	281	19	28	64
gene12438	98	83	13	82	38	148	51	21	20	20	17	33	193	21	17	58
gene12439	1	0	7	0	0	0	0	0	0	1	0	1	0	0	2	0
gene12440	19	36	13	3	8	50	6	8	2	10	0	16	45	7	4	37
gene12441	1291	1572	646	1273	803	2905	1072	671	1062	530	526	758	3872	436	409	1357
gene12442	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0
gene12443	3907	4108	1185	2459	1837	8517	2335	1832	2337	1160	884	2061	6502	880	1150	3638
gene12444	229	259	86	297	78	639	189	107	127	99	44	137	506	83	65	285
gene12445	1660	1853	523	1050	592	2969	799	706	685	401	327	730	3045	503	464	1442
gene12446	25	28	20	15	1	77	17	1	1	12	2	20	22	5	6	6
gene12447	16	0	3	5	7	18	1	2	44	25	1	17	21	31	16	71
gene12448	104	116	50	207	82	262	129	85	86	49	48	105	422	51	38	225
gene12449	10	25	2	42	24	15	11	1	6	9	1	6	21	0	1	22
gene12450	11	4	1	42	5	25	8	3	2	6	3	10	26	3	4	2
gene12451	58	32	15	22	12	60	15	6	9	9	5	15	17	11	23	17
gene12452	72	141	80	210	58	301	103	73	119	43	26	46	315	70	45	270
gene12453	2	26	0	5	1	7	5	5	11	0	3	2	24	0	3	2
gene12454	2	1	2	3	15	48	1	5	11	0	3	1	30	5	2	1
gene12455	186	184	71	176	38	297	57	77	83	38	35	92	241	73	56	149
gene12456	700	1077	304	974	354	1706	538	312	478	252	149	404	1788	294	307	636
gene12457	332	536	132	340	162	906	307	121	163	128	57	125	828	134	113	324
gene12458	13	15	11	18	7	69	30	9	24	12	4	17	32	3	7	24
gene12459	82	172	116	202	43	383	144	128	100	94	53	98	522	57	50	125
gene12460	564	680	199	749	317	1299	355	266	341	254	170	323	1218	244	156	864
gene12461	39	74	44	83	28	96	22	31	23	18	18	32	230	26	16	35
gene12462	37	90	27	73	28	177	33	13	9	30	16	17	135	17	17	40
gene12463	87	104	29	43	27	132	36	40	10	12	6	7	34	5	0	6
gene12464	523	546	212	346	229	1000	352	255	307	130	74	227	841	125	144	378
gene12465	124	228	64	110	63	342	95	56	73	47	18	99	265	31	47	110
gene12466	2	3	5	0	11	1	1	2	0	0	0	2	7	0	0	0
gene12467	65	70	21	61	10	211	87	38	67	25	16	44	294	29	39	61
gene12468	254	243	115	303	142	515	228	152	224	109	50	134	683	118	117	95
gene12469	16	5	13	19	8	26	10	5	15	5	1	6	150	9	4	6
gene12470	77	66	43	48	28	69	27	29	21	28	29	42	85	19	9	44
gene12471	2	10	0	2	0	11	7	0	20	4	1	2	1	3	2	1
gene12472	436	764	231	552	215	1237	435	211	356	558	151	643	2322	373	354	1204
gene12473	952	778	340	862	288	1243	640	322	461	384	163	379	1541	279	204	766
gene12474	422	513	159	393	208	574	268	152	204	150	117	286	686	126	116	257
gene12475	1055	1358	402	1473	663	1857	800	564	734	474	311	574	2209	439	352	1393
gene12476	253	530	126	291	122	664	202	92	759	446	311	732	2063	375	345	1349
gene12477	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
